rank,stadium,region,REGION_RANK
8,Rose Bowl Stadium,North America,1
9,Sanford Stadium,North America,2
10,Cotton Bowl Stadium,North America,3
14,Estadio Azteca,North America,4
20,MetLife Stadium,North America,5
23,FedExField,North America,6
24,Lambeau Field,North America,7
34,AT&T Stadium,North America,8
40,Los Angeles Memorial Coliseum,North America,9
43,Caesar's Superdome,North America,10
44,Arrowhead Stadium,North America,11
45,Empower Field,North America,12
51,Bank of America Stadium,North America,13
55,FirstEnergy Stadium,North America,14
59,NRG Stadium,North America,15
61,M&T Bank Stadium,North America,16
62,Mercedes-Benz Stadium,North America,17
65,SoFi Stadium,North America,18
70,Lumen Field,North America,19
71,Estadio Olímpico Universitario,North America,20
72,Gillette Stadium,North America,21
74,Lincoln Financial Field,North America,22
75,Levi's Stadium,North America,23
76,Acrisure Stadium,North America,24
79,TIAA Bank Field,North America,25
84,Lucas Oil Stadium,North America,26
86,The Dome,North America,27
89,US Bank Stadium,North America,28
93,Raymond James Stadium,North America,29
95,Hard Rock Stadium,North America,30
96,Olympic Stadium,North America,31
99,Alamodome,North America,32
100,Ford Field,North America,32
98,Camping World Stadium,North America,32
111,Soldier Field,North America,35
140,Carter–Finley Stadium,North America,36
144,Estadio Jalisco,North America,37
145,Commonwealth Stadium,North America,38
146,Dodger Stadium,North America,39
160,Bobby Dodd Stadium,North America,40
167,BC Place Stadium,North America,41
168,Yankee Stadium,North America,42
201,Estadio BBVA,North America,43
207,Huntington Bank Stadium,North America,44
208,Estadio Cuauhtémoc,North America,45
211,Stanford Stadium,North America,46
238,Estadio Akron,North America,47
256,Rogers Centre,North America,48
324,Estadio Universitario,North America,49
363,Rentschler Field,North America,50
2,Michigan Stadium,North America,51
3,Ohio Stadium,North America,52
19,Stadium Australia,Oceania,1
133,Optus Stadium,Oceania,2
176,Adelaide Oval,Oceania,3
177,Docklands Stadium,Oceania,4
184,Suncorp Stadium,Oceania,5
225,Eden Park,Oceania,6
4,Melbourne Cricket Ground,Oceania,7
18,Estadio Mâs Monumental,South America,1
30,Estadio Monumental,South America,2
39,Maracanã Stadium,South America,3
56,Estádio Nacional Mané Garrincha,South America,4
85,Estádio do Morumbi,South America,5
103,Castelão,South America,6
109,Mineirão,South America,7
120,Estadio Centenario,South America,8
121,Estádio do Arruda,South America,9
134,Estadio Monumental Isidro Romero Carbo,South America,10
142,Estadio Mario Alberto Kempes,South America,11
149,Arena do Grêmio,South America,12
172,Estadio Alberto J. Armando,South America,13
175,Estádio Estadual Jornalista Edgar Augusto Proença,South America,14
178,Estádio Parque do Sabiá,South America,15
181,Estadio Ciudad de La Plata,South America,16
190,Estadio Monumental de Maturín,South America,17
198,Estadio Presidente Juan Domingo Perón,South America,18
203,Estádio Beira-Rio,South America,19
218,Itaipava Arena Fonte Nova,South America,20
241,José Amalfitani Stadium,South America,21
248,Estadio Nacional de Chile,South America,22
250,Estadio Tomás Adolfo Ducó,South America,23
252,Estadio Libertadores de América,South America,24
255,Neo Química Arena,South America,25
257,Estadio Monumental David Arellano,South America,26
259,Estadio Ciudad de Lanús – Néstor Díaz Pérez,South America,27
261,Estádio Olímpico Nilton Santos,South America,28
260,Estadio Metropolitano Roberto Meléndez,South America,29
262,Itaipava Arena Pernambuco,South America,30
263,Arena MRV,South America,31
264,Prudentão,South America,32
266,Estadio Atanasio Girardot,South America,33
267,Estadio Nacional,South America,34
277,Estadio General Pablo Rojas,South America,35
290,Estádio Governador Alberto Tavares Silva,South America,36
291,Morenão,South America,36
293,Arena Pantanal,South America,38
294,Arena da Amazônia,South America,39
297,Allianz Parque,South America,40
300,Estadio Pedro Bidegain,South America,41
303,Estadio Universidad San Marcos,South America,42
306,Estadio General Santander,South America,43
310,Ligga Arena,South America,44
313,Estadio Olimpico Metropolitano de Mérida,South America,45
317,Estadio Inca Garcilaso de la Vega,South America,46
326,Estadio Marcelo Bielsa,South America,47
319,Estadio Deportivo Cali,South America,47
325,Estadio Brigadier General Estanislao López,South America,47
320,Estadio Modelo Alberto Spencer,South America,47
318,Estádio Serra Dourada,South America,51
330,Estadio Gigante de Arroyito,South America,52
331,Estadio Cachamay,South America,53
332,Estadio de Liga Deportiva Universitaria,South America,54
337,Estadio Hernando Siles,South America,55
340,Estadio José Pachencho Romero,South America,56
344,Estadio Couto Pereira,South America,57
346,Estadio Metropolitano de fútbol de Lara,South America,58
347,Estadio Malvinas Argentinas,South America,59
350,Estadio Virgen de Chapi,South America,60
353,Castelão,South America,61
355,Estadio Campeón del Siglo,South America,62
6,New Administrative Capital Stadium,Africa,1
7,FNB Stadium,Africa,2
16,Borg el-Arab Stadium,Africa,3
35,Stade des Martyrs,Africa,4
36,National Sports Stadium,Africa,4
37,Moi International Sports Centre,Africa,4
38,Stade Léopold Sédar Senghor,Africa,4
54,Cairo International Stadium,Africa,8
101,Stade Ibn Battuta,Africa,9
102,Stade du 5-juillet-1962,Africa,10
105,Ellis Park Stadium,Africa,11
114,Abuja Stadium,Africa,12
128,Estádio da Machava,Africa,13
131,Odi Stadium,Africa,13
130,National Heroes Stadium,Africa,13
129,Mogadishu Stadium,Africa,13
126,Hammadi Agrebi Stadium,Africa,13
123,Benjamin Mkapa National Stadium,Africa,13
147,Stade du 19-mai-1956,Africa,19
158,Cape Town Stadium,Africa,20
173,Moses Mabhida Stadium,Africa,21
186,Stade Prince Moulay Abdellah,Africa,22
187,Kings Park Stadium,Africa,22
188,Newlands Stadium,Africa,24
191,Loftus Versfeld Stadium,Africa,25
226,Estádio 11 de Novembro,Africa,26
236,Diamniadio Olympic Stadium,Africa,26
235,Stade du 26 Mars,Africa,26
219,Stade Olympique de Sousse,Africa,26
230,June 11 Stadium,Africa,26
239,Levy Mwanawasa Stadium,Africa,31
249,Nelson Mandela Bay Stadium,Africa,32
253,Free State Stadium,Africa,33
265,Stade Mohammed V,Africa,34
269,Adrar Stadium,Africa,35
271,Grand stade de Marrakech,Africa,36
272,Mandela National Stadium,Africa,37
286,Egyptian Army Stadium,Africa,38
285,Lagos National Stadium,Africa,38
284,Stade du Complexe sportif de Fès,Africa,38
278,Stade Mohammed V,Africa,38
321,Estádio do Zimpeto,Africa,42
323,Royal Bafokeng Stadium,Africa,42
329,Peter Mokaba Stadium,Africa,44
338,Bingu National Stadium,Africa,45
339,Mbombela Stadium,Africa,46
341,Stade Nelson Mandela,Africa,47
343,Baba Yara Stadium,Africa,48
354,Stade Miloud-Hadefi,Africa,49
359,Stade Ahmed-Zabana,Africa,50
368,Accra Sports Stadium,Africa,50
374,Stade d'Angondjé,Africa,50
13,Lusail Stadium,West Asia,1
41,Azadi Stadium,West Asia,2
49,Naghsh-e-Jahan Stadium,West Asia,3
67,Bakı Olimpiya stadionu,West Asia,4
73,King Abdullah Sports City Stadium,West Asia,5
87,Yadegar-e-Emam Stadium,West Asia,6
97,Basra International Stadium,West Asia,7
110,King Fahd International Stadium,West Asia,8
122,Al-Bayt Stadium,West Asia,9
125,Jaber al-Ahmad International Stadium,West Asia,9
165,Boris Paitchadze Dinamo Arena,West Asia,11
169,Hrazdan Stadium,West Asia,12
180,Aleppo International Stadium,West Asia,13
199,İzmir Atatürk Stadyumu,West Asia,14
202,Ghadir Stadium,West Asia,15
210,Ülker Stadyumu,West Asia,16
234,Pars Shiraz Stadium,West Asia,17
242,Camille Chamoun Sports City Stadium,West Asia,18
279,Latakia Sports City Stadium,West Asia,19
288,Zayed Sports City Stadium,West Asia,19
357,Al-Janoub Stadium,West Asia,21
358,Al-Thumama Stadium,West Asia,21
373,Khalifa International Stadium,West Asia,21
17,Salt Lake Stadium,South Asia,1
127,Jawaharlal Nehru Stadium,South Asia,2
222,Greenfield International Stadium,South Asia,3
223,EMS Stadium,South Asia,3
224,KD Singh Babu Stadium,South Asia,3
251,Jinnah Sports Stadium,South Asia,6
364,Jawaharlal Nehru Stadium,South Asia,7
375,Peoples Football Stadium,South Asia,7
376,JRD Tata Sports Complex Stadium,South Asia,7
15,Bukit Jalil National Stadium,Southeast Asia,1
22,Jakarta International Stadium,Southeast Asia,2
29,Shah Alam Stadium,Southeast Asia,3
42,Gelora Bung Karno Main Stadium,Southeast Asia,4
50,Morodok Techo National Stadium,Southeast Asia,5
64,Phnom Penh Olympic Stadium,Southeast Asia,6
155,National Stadium,Southeast Asia,7
195,Rajamangala National Stadium,Southeast Asia,8
237,Sultan Mizan Zainal Abidin Stadium,Southeast Asia,9
283,Stadium Tuanku Abdul Rahman,Southeast Asia,10
276,Stadion Harapan Banga,Southeast Asia,10
275,Stadion Gelora Bung Tomo,Southeast Asia,10
296,Stadion Utama Riau,Southeast Asia,13
308,Perak Stadium,Southeast Asia,14
348,Stadion Lukas Enembe,Southeast Asia,15
351,Sân vận động Quốc gia Mỹ Đình,Southeast Asia,16
360,Stadion Batakan,Southeast Asia,17
361,Stadion Gelora Joko Samudro,Southeast Asia,17
365,Hang Jebat Stadium,Southeast Asia,17
367,Stadium Negeri Pulau Pinang,Southeast Asia,17
369,Sarawak Stadium,Southeast Asia,17
370,Bogyoke Aung San Stadium,Southeast Asia,17
372,Stadium Darul Makmur,Southeast Asia,17
5,Camp Nou,Europe,1
12,Wembley Stadium,Europe,2
21,Croke Park,Europe,3
25,Signal Iduna Park,Europe,4
26,Stade de France,Europe,5
27,Estadio Santiago Bernabéu,Europe,6
28,Luzhniki Stadium,Europe,7
31,Stadio Giuseppe Meazza,Europe,8
46,Atatürk Olympic Stadium,Europe,9
47,Old Trafford,Europe,10
48,Allianz Arena,Europe,11
52,Millennium Stadium,Europe,12
53,Olympiastadion,Europe,13
57,Stadio Olimpico,Europe,14
63,Olympic National Sports Complex Stadium,Europe,15
68,Olympic Stadium,Europe,16
69,Olympiastadion München,Europe,17
77,Krestovsky Stadium,Europe,18
80,Cívitas Metropolitano,Europe,19
81,Stade Vélodrome,Europe,20
82,Puskás Aréna,Europe,21
83,Murrayfield Stadium,Europe,22
92,London Stadium,Europe,23
94,Estádio da Luz,Europe,24
106,Tottenham Hotspur Stadium,Europe,25
107,Veltins-Arena,Europe,26
113,Estadio Benito Villamarín,Europe,27
115,MHPArena,Europe,28
116,Celtic Park,Europe,29
117,Emirates Stadium,Europe,30
119,Stadio Diego Armando Maradona,Europe,31
135,Groupama Stadium,Europe,32
137,Stadion Narodowy,Europe,33
138,Stadio San Nicola,Europe,34
139,Estadio La Cartuja de Sevilla,Europe,35
141,Volksparkstadion,Europe,36
148,Estadi Olímpic Lluís Companys,Europe,37
150,Arena Națională,Europe,38
151,Stadion Rajko Mitić,Europe,39
152,Stadion Śląski,Europe,40
153,Etihad Stadium,Europe,41
154,Mestalla,Europe,42
159,Plovdiv Stadium,Europe,42
161,Johan Cruyff Arena,Europe,44
164,MERKUR SPIEL-ARENA,Europe,45
170,Anfield,Europe,46
171,BORUSSIA-PARK,Europe,47
179,San Mamés Stadium,Europe,48
183,Nef Stadyumu,Europe,49
185,St. James' Park,Europe,50
189,Hampden Park,Europe,51
192,Aviva Stadium,Europe,52
196,Donbass Arena,Europe,53
197,Deutsche Bank Park,Europe,54
200,Stadion Feijenoord,Europe,55
206,Ernst-Happel-Stadion,Europe,56
204,Ibrox Stadium,Europe,57
209,Friends Arena,Europe,58
212,Stade Pierre-Mauroy,Europe,59
213,King Baudouin Stadium,Europe,60
216,Estádio José Alvalade,Europe,61
217,Estádio do Dragão,Europe,62
220,RheinEnergieSTADION,Europe,63
229,Max-Morlock-Stadion,Europe,63
240,Fritz-Walter-Stadion,Europe,65
245,Heinz-von-Heiden-Arena,Europe,66
246,Parc des Princes,Europe,67
247,Stadium of Light,Europe,68
258,Stadio Artemio Franchi,Europe,69
268,Estadio Ramón Sánchez Pizjuán,Europe,70
270,Otkritie Bank Arena,Europe,71
273,Tarczyński Arena Wrocław,Europe,72
274,Kazan Arena,Europe,72
289,Red Bull Arena,Europe,74
299,Polsat Plus Arena Gdańsk,Europe,75
301,Stadion Miejski w Poznaniu,Europe,76
302,Vasil Levski National Stadium,Europe,77
304,Ullevi,Europe,78
307,Villa Park,Europe,79
311,Weserstadion,Europe,80
315,Matmut ATLANTIQUE,Europe,81
316,Helsingin Olympiastadion,Europe,82
327,Stade Geoffroy-Guichard,Europe,83
328,Vodafone Park,Europe,84
335,Stamford Bridge,Europe,85
333,Allianz Stadium,Europe,86
345,RCDE Stadium,Europe,87
352,Goodison Park,Europe,88
356,Metalist Stadium,Europe,89
362,Fisht Olympic Stadium,Europe,90
11,Beijing National Stadium,East Asia,1
32,Guangdong Olympic Stadium,East Asia,2
33,Hangzhou Olympic Sports Expo Centre Stadium,East Asia,3
58,International Stadium Yokohama,East Asia,4
60,Shanghai Stadium,East Asia,5
66,Seoul Olympic Stadium,East Asia,6
78,Japan National Stadium,East Asia,7
88,Seoul World Cup Stadium,East Asia,8
90,Daegu Stadium,East Asia,9
91,Workers' Stadium,East Asia,10
104,Saitama Stadium 2002,East Asia,11
108,Yizhong Sports Centre Stadium,East Asia,12
112,Nanjing Olympic Sports Centre Stadium,East Asia,13
118,Shenzhen Universiade Sports Centre,East Asia,14
124,Hefei Olympic Sports Centre Stadium,East Asia,15
132,Shenyang Olympic Sports Center Stadium,East Asia,15
136,Chongqing Olympic Sports Centre Stadium,East Asia,17
143,Jinan Olympic Sports Centre Stadium,East Asia,18
156,National Stadium,East Asia,19
157,He Long Stadium,East Asia,19
162,Tianhe Stadium,East Asia,21
163,Tianjin Olympic Sports Centre Stadium,East Asia,22
166,Wuhan Sports Centre Stadium,East Asia,23
174,Busan Asiad Main Stadium,East Asia,24
182,Huanglong Stadium,East Asia,25
193,Guiyang Olympic Sports Centre Stadium,East Asia,26
194,Hohhot City Stadium,East Asia,27
205,Shizuoka Stadium,East Asia,28
214,Shaanxi Province Stadium,East Asia,29
215,Ajinomoto Stadium,East Asia,29
221,Harbin Sports City Center Stadium,East Asia,31
233,Hiroshima Big Arch,East Asia,31
232,Kim Il-sung Stadium,East Asia,31
231,Xinjiang Sports Centre Stadium,East Asia,31
227,Henan Provincial Stadium,East Asia,31
228,Jiangxi Olympic Sports Center,East Asia,31
243,Miyagi Stadium,East Asia,37
244,Incheon Munhak Stadium,East Asia,38
254,Nagai Stadium,East Asia,39
280,Zibo Sports Centre Stadium,East Asia,40
281,Weifang Sports Centre Stadium,East Asia,40
282,Yantai Sports Park Stadium,East Asia,40
287,Toyota Stadium,East Asia,40
292,Ulsan Munsu Football Stadium,East Asia,44
295,Suwon World Cup Stadium,East Asia,45
298,Shandong Provincial Stadium,East Asia,46
305,Jinzhou Binhai Sports Centre Stadium,East Asia,47
309,Jeonju World Cup Stadium,East Asia,48
312,Denka Big Swan Stadium,East Asia,49
314,Daejeon World Cup Stadium,East Asia,50
322,Chengdu Sports Centre Stadium,East Asia,51
334,Sapporo Dome,East Asia,52
336,Goyang Stadium,East Asia,53
342,Kashima Football Stadium,East Asia,54
349,Gwangju World Cup Stadium,East Asia,55
366,Hong Kong Stadium,East Asia,56
371,Resonac Dome Ōita,East Asia,56
377,Bao'an Stadium,East Asia,56
378,Kunming Tuodong Sports Centre Stadium,East Asia,56
379,Taizhou Sports Centre Stadium,East Asia,56
380,Wuhu Olympic Stadium,East Asia,56
381,Huizhou Olympic Stadium,East Asia,56
1,Rungrado 1st of May Stadium,East Asia,63
