rank,stadium,region,capacity,MEDIAN_CAPACITY,MEDIAN_RANK
221,Harbin Sports City Center Stadium,East Asia,50000,50000.000,1
177,Docklands Stadium,Oceania,53359,53359.000,1
275,Stadion Gelora Bung Tomo,Southeast Asia,45000,45000.000,1
236,Diamniadio Olympic Stadium,Africa,50000,50000.000,1
263,Arena MRV,South America,46000,45977.000,1
169,Hrazdan Stadium,West Asia,54208,54208.000,1
86,The Dome,North America,66965,66982.500,1
164,MERKUR SPIEL-ARENA,Europe,54600,54383.500,1
222,Greenfield International Stadium,South Asia,50000,50000.000,1
