country,STADIUM_COUNT
United States,41
China,35
Brazil,25
Germany,16
Argentina,14
Japan,13
South Africa,13
England,12
South Korea,11
Spain,10
Malaysia,9
Indonesia,8
France,7
India,7
Mexico,7
Morocco,7
Australia,6
Italy,6
Algeria,5
Iran,5
Peru,5
Poland,5
Qatar,5
Russia,5
Turkey,5
Venezuela,5
Canada,4
Colombia,4
Egypt,4
Scotland,4
Ecuador,3
Portugal,3
Ukraine,3
Bulgaria,2
Cambodia,2
Chile,2
Ghana,2
Ireland,2
Mozambique,2
Netherlands,2
Nigeria,2
North Korea,2
Pakistan,2
Saudi Arabia,2
Senegal,2
Sweden,2
Syria,2
Tunisia,2
Uruguay,2
Zambia,2
Angola,1
Armenia,1
Austria,1
Azerbaijan,1
Belgium,1
Bolivia,1
DR Congo,1
Finland,1
Gabon,1
Georgia,1
Greece,1
Hong Kong,1
Hungary,1
Iraq,1
Kenya,1
Kuwait,1
Lebanon,1
Libya,1
Malawi,1
Mali,1
Myanmar,1
New Zealand,1
Paraguay,1
Romania,1
Serbia,1
Singapore,1
Somalia,1
Taiwan,1
Tanzania,1
Thailand,1
Uganda,1
United Arab Emirates,1
Vietnam,1
Wales,1
Zimbabwe,1
