rank,stadium,region,capacity,REGION_RANK
5,Camp Nou,Europe,99354,1
12,Wembley Stadium,Europe,90000,2
21,Croke Park,Europe,82300,3
13,Lusail Stadium,West Asia,88966,1
41,Azadi Stadium,West Asia,78116,2
49,Naghsh-e-Jahan Stadium,West Asia,75000,3
18,Estadio Mâs Monumental,South America,84567,1
30,Estadio Monumental,South America,80093,2
39,Maracanã Stadium,South America,78838,3
15,Bukit Jalil National Stadium,Southeast Asia,87411,1
22,Jakarta International Stadium,Southeast Asia,82000,2
29,Shah Alam Stadium,Southeast Asia,80372,3
11,Beijing National Stadium,East Asia,91000,1
32,Guangdong Olympic Stadium,East Asia,80012,2
33,Hangzhou Olympic Sports Expo Centre Stadium,East Asia,80000,3
19,Stadium Australia,Oceania,83500,1
133,Optus Stadium,Oceania,60000,2
176,Adelaide Oval,Oceania,53500,3
6,New Administrative Capital Stadium,Africa,94940,1
7,FNB Stadium,Africa,94736,2
16,Borg el-Arab Stadium,Africa,86000,3
8,Rose Bowl Stadium,North America,92800,1
9,Sanford Stadium,North America,92746,2
10,Cotton Bowl Stadium,North America,92100,3
17,Salt Lake Stadium,South Asia,85000,1
127,Jawaharlal Nehru Stadium,South Asia,60000,2
222,Greenfield International Stadium,South Asia,50000,3
223,EMS Stadium,South Asia,50000,3
224,KD Singh Babu Stadium,South Asia,50000,3
